EC,SPECIE,TYPE,Charge
H94C47O6N1,TG 44:0:0,M+NH4,1
H94C48O6N1,TG 45:1:0,M+NH4,1
H96C48O6N1,TG 45:0:0,M+NH4,1
H92C49O6N1,TG 46:3:0,M+NH4,1
H94C49O6N1,TG 46:2:0,M+NH4,1
H96C49O6N1,TG 46:1:0,M+NH4,1
H98C49O6N1,TG 46:0:0,M+NH4,1
H96C50O6N1,TG 47:2:0,M+NH4,1
H98C50O6N1,TG 47:1:0,M+NH4,1
H100C50O6N1,TG 47:0:0,M+NH4,1
H96C51O6N1,TG 48:3:0,M+NH4,1
H98C51O6N1,TG 48:2:0,M+NH4,1
H100C51O6N1,TG 48:1:0,M+NH4,1
H102C51O6N1,TG 48:0:0,M+NH4,1
H96C52O6N1,TG 49:4:0,M+NH4,1
H98C52O6N1,TG 49:3:0,M+NH4,1
H100C52O6N1,TG 49:2:0,M+NH4,1
H102C52O6N1,TG 49:1:0,M+NH4,1
H94C53O6N1,TG 50:6:0,M+NH4,1
H96C53O6N1,TG 50:5:0,M+NH4,1
H98C53O6N1,TG 50:4:0,M+NH4,1
H100C53O6N1,TG 50:3:0,M+NH4,1
H102C53O6N1,TG 50:2:0,M+NH4,1
H104C53O6N1,TG 50:1:0,M+NH4,1
H106C53O6N1,TG 50:0:0,M+NH4,1
H102C54O6N1,TG 51:3:0,M+NH4,1
H104C54O6N1,TG 51:2:0,M+NH4,1
H106C54O6N1,TG 51:1:0,M+NH4,1
H108C54O6N1,TG 51:0:0,M+NH4,1
H100C55O6N1,TG 52:5:0,M+NH4,1
H102C55O6N1,TG 52:4:0,M+NH4,1
H104C55O6N1,TG 52:3:0,M+NH4,1
H106C55O6N1,TG 52:2:0,M+NH4,1
H108C55O6N1,TG 52:1:0,M+NH4,1
H110C55O6N1,TG 52:0:0,M+NH4,1
H104C56O6N1,TG 53:4:0,M+NH4,1
H106C56O6N1,TG 53:3:0,M+NH4,1
H108C56O6N1,TG 53:2:0,M+NH4,1
H110C56O6N1,TG 53:1:0,M+NH4,1
H112C56O6N1,TG 53:0:0,M+NH4,1
H102C57O6N1,TG 54:6:0,M+NH4,1
H104C57O6N1,TG 54:5:0,M+NH4,1
H106C57O6N1,TG 54:4:0,M+NH4,1
H108C57O6N1,TG 54:3:0,M+NH4,1
H110C57O6N1,TG 54:2:0,M+NH4,1
H112C57O6N1,TG 54:1:0,M+NH4,1
H108C58O6N1,TG 55:4:0,M+NH4,1
H110C58O6N1,TG 55:3:0,M+NH4,1
H112C58O6N1,TG 55:2:0,M+NH4,1
H114C58O6N1,TG 55:1:0,M+NH4,1
H104C59O6N1,TG 56:7:0,M+NH4,1
H116C58O6N1,TG 55:0:0,M+NH4,1
H106C59O6N1,TG 56:6:0,M+NH4,1
H108C59O6N1,TG 56:5:0,M+NH4,1
H110C59O6N1,TG 56:4:0,M+NH4,1
H112C59O6N1,TG 56:3:0,M+NH4,1
H114C59O6N1,TG 56:2:0,M+NH4,1
H116C59O6N1,TG 56:1:0,M+NH4,1
H106C60O6N1,TG 57:7:0,M+NH4,1
H108C60O6N1,TG 57:6:0,M+NH4,1
H112C60O6N1,TG 57:4:0,M+NH4,1
H114C60O6N1,TG 57:3:0,M+NH4,1
H116C60O6N1,TG 57:2:0,M+NH4,1
H106C61O6N1,TG 58:8:0,M+NH4,1
H118C60O6N1,TG 57:1:0,M+NH4,1
H120C60O6N1,TG 57:0:0,M+NH4,1
H110C61O6N1,TG 58:6:0,M+NH4,1
H114C61O6N1,TG 58:4:0,M+NH4,1
H116C61O6N1,TG 58:3:0,M+NH4,1
H118C61O6N1,TG 58:2:0,M+NH4,1
H120C61O6N1,TG 58:1:0,M+NH4,1
H122C61O6N1,TG 58:0:0,M+NH4,1
H116C62O6N1,TG 59:4:0,M+NH4,1
H118C62O6N1,TG 59:3:0,M+NH4,1
H120C62O6N1,TG 59:2:0,M+NH4,1
H122C62O6N1,TG 59:1:0,M+NH4,1
H124C62O6N1,TG 59:0:0,M+NH4,1
H116C63O6N1,TG 60:5:0,M+NH4,1
H118C63O6N1,TG 60:4:0,M+NH4,1
H120C63O6N1,TG 60:3:0,M+NH4,1
H122C63O6N1,TG 60:2:0,M+NH4,1
H124C63O6N1,TG 60:1:0,M+NH4,1
H126C63O6N1,TG 60:0:0,M+NH4,1
